product_id,da_price_eur_mwh
0,33.57
1,38.07
2,36.53
3,42.29
4,43.08
5,41.65
6,63.09
7,79.6
8,76.09
9,51.99
10,61.64
11,50.44
12,50.4
13,54.09
14,44.09
15,44.34
16,49.41
17,58.47
18,61.03
19,47.56
20,51.02
21,58.15
22,46.23
23,35.1
24,38.21
25,43.24
26,44.97
27,42.57
28,46.28
29,49.87
30,64.89
31,77.83
32,96.06
33,66.21
34,63.68
35,105.64
36,58.56
37,50.25
38,47.5
39,44.27
40,54.18
41,57.14
42,105.27
43,61.6
44,62.79
45,46.7
46,48.96
47,47.34
48,37.6
49,37.55
50,65.08
51,43.98
52,52.76
53,54.73
54,57.16
55,83.77
56,73.9
57,74.24
58,68.71
59,101.84
60,41.4
61,50.49
62,59.28
63,53.97
64,68.47
65,62.61
66,90.22
67,53.15
68,61.33
69,39.39
70,50.71
71,44.96
72,-12.41
73,-11.28
74,4.68
75,17.64
76,9.96
77,19.12
78,18.35
79,20.03
80,29.55
81,25.43
82,22.21
83,20.35
84,19.84
85,9.58
86,15.82
87,19.41
88,19.87
89,22.1
90,24.25
91,19.92
92,15.83
93,10.63
94,-9.15
95,6.21
96,2.32
97,-0.38
98,13.15
99,10.83
100,14.41
101,21.18
102,27.92
103,34.36
104,33.48
105,30.64
106,25.35
107,25.39
108,13.28
109,23.17
110,14.05
111,11.26
112,24.86
113,24.67
114,24.95
115,25.7
116,21.19
117,24.56
118,20.83
119,20.88
120,17.25
121,11.22
122,20.59
123,11.78
124,20.17
125,27.02
126,27.45
127,33.32
128,32.07
129,27.11
130,33.66
131,23.29
132,18.56
133,27.41
134,23.71
135,28.77
136,24.79
137,21.45
138,27.75
139,22.39
140,27.64
141,19.2
142,14.83
143,5.97
144,20.05
145,19.47
146,27.5
147,16.5
148,29.3
149,34.95
150,38.33
151,39.6
152,44.14
153,33.54
154,33.07
155,30.33
156,33.0
157,31.11
158,27.91
159,30.05
160,35.38
161,39.48
162,35.96
163,34.17
164,31.15
165,32.31
166,21.53
167,19.29
168,19.56
169,9.85
170,23.47
171,18.93
172,23.79
173,26.77
174,29.1
175,31.5
176,34.09
177,40.68
178,33.44
179,32.45
180,30.36
181,28.88
182,26.7
183,29.84
184,24.54
185,24.41
186,31.23
187,27.22
188,26.59
189,25.63
190,22.23
191,20.1
192,35.27
193,36.74
194,29.98
195,34.92
196,39.93
197,39.04
198,65.75
199,71.4
200,70.82
201,73.44
202,51.94
203,51.17
204,43.59
205,40.53
206,43.31
207,42.08
208,51.67
209,48.78
210,40.73
211,49.56
212,51.54
213,37.94
214,36.84
215,36.4
216,52.48
217,40.28
218,52.7
219,61.18
220,68.74
221,76.88
222,122.04
223,104.97
224,139.22
225,87.43
226,151.77
227,79.66
228,73.49
229,70.3
230,75.5
231,74.96
232,98.97
233,72.53
234,90.63
235,103.82
236,66.36
237,65.93
238,56.77
239,43.72
240,48.97
241,42.3
242,42.22
243,55.71
244,55.93
245,91.27
246,52.0
247,58.85
248,67.71
249,103.77
250,64.63
251,62.61
252,62.87
253,43.96
254,47.92
255,58.62
256,62.91
257,77.62
258,66.76
259,58.12
260,67.1
261,56.49
262,40.12
263,43.89
264,52.96
265,45.34
266,49.25
267,57.28
268,64.49
269,114.45
270,69.56
271,70.0
272,104.52
273,97.85
274,65.67
275,122.9
276,89.13
277,61.21
278,86.4
279,86.85
280,89.1
281,89.86
282,219.0
283,115.52
284,81.98
285,58.25
286,48.74
287,42.0
288,37.55
289,34.96
290,39.07
291,44.0
292,45.37
293,43.36
294,55.97
295,62.45
296,57.46
297,54.27
298,59.46
299,57.78
300,68.22
301,42.54
302,45.37
303,52.74
304,57.16
305,52.94
306,57.73
307,53.62
308,66.61
309,40.61
310,47.76
311,33.66
312,29.81
313,26.9
314,36.66
315,36.41
316,43.94
317,35.55
318,58.23
319,49.46
320,52.46
321,46.81
322,46.1
323,46.43
324,43.59
325,42.71
326,44.92
327,41.25
328,46.64
329,45.57
330,42.51
331,58.93
332,47.13
333,41.56
334,29.52
335,33.57
336,19.27
337,34.48
338,34.18
339,26.13
340,29.48
341,30.74
342,38.73
343,44.78
344,42.49
345,34.35
346,58.01
347,39.55
348,24.06
349,37.63
350,34.15
351,27.82
352,29.82
353,37.23
354,41.19
355,40.92
356,38.95
357,29.5
358,24.72
359,29.84
360,31.78
361,39.6
362,32.54
363,45.17
364,39.52
365,42.37
366,53.56
367,53.19
368,72.48
369,57.14
370,67.0
371,58.71
372,48.5
373,40.08
374,51.88
375,41.04
376,49.43
377,58.79
378,62.78
379,53.3
380,37.78
